Produkt;Kaloryczność [kcal];Białko [g];Tłuszcz [g];Węglowodany [g]
Dynia pestki;556;24.5;45.8;18
Kasztany jadalne;196;3.4;1.9;41.2
Len, nasiona;500;24.5;31;35
Mak niebieski;478;20.1;42.9;24.7
Migdały;572;20;52;20.5
Orzech kokosowy;335;3.4;33.5;15.2
Orzechy arachidowe;560;25.7;46.1;19.2
Orzechy laskowe;640;14.4;63;14.9
Orzechy macadamia;703;7.5;73;4
Orzechy nerkowca;595;17.7;45.6;29.4
Orzechy para;670;13.6;66.8;3.6
Orzechy pekan;703;9.3;72;4.4
Orzechy pistacjowe;589;20.5;48.5;25
Orzechy włoskie;645;16;60.3;18
Orzeszki cashew;571;17.2;42.2;30.5
Orzeszki pinii;674;13;60;20.5
Płatki arachidowe;520;13;28;54
Sezam, nasiona;632;23.2;59.9;10
Słonecznik; nasiona;561;24.4;43.7;24.6
Wiórki kokosowe;606;5.6;63.2;27
