Produkt;Kaloryczność [kcal];Białko [g];Tłuszcz [g];Węglowodany [g]
Gęś tuszka;339;14.1;31.8;0
Indyk, mięso z piersi; bez skóry;84;19.2;0.7;0
Indyk, mięso z piersi; ze skórą;100;18.7;2.7;0
Indyk, podudzie bez skóry;100;16.6;3.7;0
Indyk, podudzie ze skórą;142;15.7;8.9;0
Indyk, skóra;413;9.4;42.4;0
Indyk, skrzydła bez skóry;115;18;4.7;0
Indyk, skrzydła ze skórą;168;16.5;11.4;0
Indyk, skrzydło;168;16.5;11.4;0
Indyk, tuszka;129;17;6.8;0
Indyk, udziec bez skóry;104;19.4;2.8;0
Indyk, udziec ze skórą;131;18.4;6.4;0
Kaczka, bez skóry i kości;99;20.1;2;0
Kaczka, tuszka;308;13.5;28.6;0
Królik, tuszka;156;21;8;0
Kura, tuszka;202;18.5;14.3;0
Kurczak, mięso z piersi bez skóry;99;21.5;1.3;0
Kurczak, pałka z kurczaka;158;16.8;10.2;0
Kurczak, skóra;379;10.7;37.9;0
Kurczak, skrzydełka;186;19.2;12.2;0
Kurczak, tuszka;158;18.6;9.3;0
Kurczak, udka bez skóry;125;17.8;6;0
Kurczak, udka ze skórą;158;16.8;10.2;0
Wątróbka z kurczaka;136;19.1;6.3;0.6
Żołądek z kurczaka;114;18.2;4.2;0.6
Białko jaja kurzego;49;10.9;0.2;0.7
Jaja kurze całe;139;12.5;9.7;0.6
Proszek jajeczny;576;48.4;41.7;2.7
Żółtko jaja kurzego;314;15.5;28.2;0.3
