Produkt;Kalorie [kcal];Białko [g];Tłuszcz [g];Węglowodany [g]
7Up;129;0;0;34
Angus Cross XT;704.6;40.5;41.2;42
Big Garden Salad;26;2;0;4
Big King;559;29;34;33
Big King XXL;999;56;63;52
Cafe Americano;4;0;1;0
Cafe Latte;72;4;4;6
Cappuccino;60;3;3;5
Cheeseburger;322;17;14;31
Chicken Fries (6 szt.);191;13;11;11
Chicken Nugget Burger;367;12;18;39
Chicken Nuggets (6 szt.);264;15;16;15
Chicken Nuggets (9 szt.);396;23;24;22
Crispy Chicken;492;18;29;39
Double Cheeseburger;479;29;26;32
Double Whoper;861;46;52;51
Espresso;0;0;0;0
Frappe Caramel;234;7;2;47
Frappe Chocolate;229;8;3;43
Frytki duże;314;6;15;39
Frytki małe;201;4;10;25
Frytki XXL;596;10;29;74
Grilled Chicken BBQ;747;44;47;56
Grilled Chicken Wrap;369;34;10;36
Hamburger;281;14;11;31
Hot Brownie;456;6;31;39
Hot Brownie z lodami;514;7;33;48
Hot Whopper;512;27;22;51
Kurak;302;10;13;37
Lipton Lemon;90;2;2;21
Lody Fusion KitKat;336;6;13;48
Lody Fusion Oreo;286;5;10;42
Long Chicken;572;25;29;53
Mirinda;144;0;0;39
Onion Rings (6 szt.);232;4;11;30
Pepsi;121;0;0;32
Pepsi light;1;0;0;0
Sałatka Grilled Chicken;176;28;4;6
Smoothie Mango;215;2;1;49
Smoothie Strawberry;203;2;1;47
Steakhouse;783;37;44;59
Triple Whopper;1084;65;68;51
Whopper;637;28;35;51
Whopper Junior;347;15;18;31

