Produkt;Kaloryczność [kcal];Białko [g];Tłuszcz [g];Węglowodany [g]
Cappuccino;4;0.3;5;0.5
Cheesamisu;307;4.4;18.6;31.6
Dip BBQ;26;0.4;0.1;5.8
Dip majonezowo-czosnkowy;107;0.2;11.3;1.5
Dip musztardowy;41;1;2.9;2.8
Dip orientalny;30;0.2;0;7.2
Espresso;2;0.1;0.2;0
Frytki duże;268;4.1;11.6;35.5
Frytki małe;179;2.7;7.7;23.7
Kanapka Brazer;474;36.3;16.1;43.3
Kanapka Grander;714;28.6;34.8;71.4
Kanapka Grander Texas;807;33;45.6;63.9
Kanapka Longer;306;11.8;10;42.3
Kanapka Mega Pocket H&S;689;34.4;37;51.9
Kanapka pocket Kentacky;692;31.6;36.2;57.4
Kanapka Zinger;482;24.5;24.5;40.7
Ketchup;22;0.3;0;5.2
Krusher czekoladowy KitKat duży;423;7.7;14.8;64.1
Krusher czekoladowy KitKat mały;226;4.2;8;34.1
Krusher truskawkowy duży;427;6.8;13.5;69.6
Krusher truskawkowy mały;228;3.8;7.3;36.8
Kubełek frytek;612;9.4;26.4;81.1
Kukurydza;315;8.3;9.5;49
Kurczak Hot&Spicy: nóżka;250;15.1;17;9.3
Kurczak Hot&Spicy: pierś;336;25.1;20.6;12.6
Kurczak Hot&Spicy: skrzydełko;230;14.6;16.2;6.6
Kurczak Hot&Spicy: udko;448;21.4;32.5;17.5
Kurczak Hot&Spicy: żeberko;533;34.6;33.3;23.6
Kurczak Kentucky: nóżka;170;15.9;9.6;5
Kurczak Kentucky: pierś;236;25.4;11.5;7.8
Kurczak Kentucky: skrzydełko;185;14.5;11.2;6.5
Kurczak Kentucky: udko;301;21.8;19.7;9.3
Kurczak Kentucky: żeberko;326;36.4;15.3;10.9
Latte duże;196;10.6;10.2;15.6
Latte małe;147;7.9;7.6;11.7
Lody waniliowe – duża porcja;194;4.5;8.1;25.8
Lody waniliowe – mała porcja;110;2.6;4.6;14.6
Majonez;123;0.1;12.7;2.1
Mini Twister;326;11.4;15.3;35.5
Sałatka Brazer (bez sosu);141;23.7;2.5;1.6
Sałatka Ceasar (bez sosu);292;22.7;14.4;18.1
Sałatka Colesław;146;1.7;18.2;11.6
Sałatka Grecka (bez sosu);133;6.6;8.9;6.6
Sałatka Picante (bez sosu);318;25.2;18.7;12.6
Sałatka Piccolo (bez sosu);12;0.6;0.3;4.2
Sos ceasar;169;0.6;16.1;5.5
Sos czekoladowy;41;0.3;0.1;9.4
Sos piccante;188;0.3;18.8;4.4
Sos truskawkowy;43;0.1;0.1;10.4
Sos vinegrette;58;0.3;1.7;10.6
Twister;540;19.4;28.3;51.5
Twister Brazer;431;27.5;17.6;37.6
Wiśniowy deser jogurtowy;206;3;6.6;33.8
