Produkt;Kalorie [kcal];Białko [g];Tłuszcz [g];Węglowodany [g]
Big Mac;510;27;26;41
Cafe Latte;135;7;7;11
Cappucino duże;125;6;7;10
Cappucino małe;75;4;4;6
Cheeseburger;305;16;13;30
Chicken Strips – 3 szt.;335;25;16;21
Chicken Strips – 5 szt.;560;42;27;34
Chicken Wings – 3 szt.;350;19;24;14
Chicken Wings – 5 szt.;580;32;40;23
Chicken Wings – 8 szt.;930;51;64;37
Chikker;335;15;10;45
Ciastko jabłkowe;245;2;13;29
Coca-cola duża;210;0;0;53
Coca-cola mała;110;0;0;27
Coca-cola średnia;170;0;0;42
Coca-cola Zero;0;0;0;0
Do sałatki – oliwa z oliwek;82;0;9;0
Duże lody w kubełku plastikowym z polewą o smaku czekoladowym;280;5;8;46
Duże lody w kubełku plastikowym z polewą o smaku karmelowym;285;4;6;54
Duże lody w kubełku plastikowym z polewą o smaku truskawkowym;225;4;4;43
Duże lody w waflu z polewą o smaku czekoladowym;305;6;8;52
Duże lody w waflu z polewą o smaku karmelowym;310;5;6;59
Duże lody w waflu z polewą o smaku truskawkowym;250;4;4;49
Espresso;0;0;0;0
Fanta duża;180;0;0;50
Fanta mała;90;0;0;23
Fanta średnia;145;0;0;36
Filet-o-Fish;320;14;13;36
Frutyki średnie;340;4;17;41
Frytki duże;475;6;23;58
Frytki małe;240;3;12;29
Grzanki;60;2;2;10
Hamburger;255;13;9;30
"Herbata – mała; duża";0;0;0;0
Kanapka śniadaniowa – jajko i bekon;635;29;33;53
Kanapka śniadaniowa – wieprzowa DeLuxe;535;23;31;39
"Kawa czarna – mała; duża";0;0;0;0
Kawa duża z mlekiem;75;4;4;6
Kawa mała z mlekiem;50;2;2;4
Ketchup;10;0;0;3
Kurczakburger;310;12;11;39
Lipton Ice Tea Lemon duża;140;0;0;34
Lipton Ice Tea Lemon mała;70;0;0;17
Lipton Ice Tea Lemon średnia;115;0;0;27
Lodowe Marzenie o smaku czekoladowym;360;6;13;55
Lodowe Marzenie o smaku karmelowym;343;5;11;57
Lodowe Marzenie o smaku truskawkowym;308;5;9;51
Małe lody;140;3;3;25
McChicken;420;20;17;46
McCroissant;290;12;16;23
McDouble;400;24;20;30
McFlurry Lion;260;5;8;42
McMuffin – jajko i bekon;325;17;16;27
McMuffin – jako;300;15;14;27
McMuffin – wieprzowy DeLuxe;390;18;22;28
McMuffin – wieprzowy z jajkiem;465;25;28;27
McNuggets – 20 szt.;885;55;45;62
McNuggets – 4 szt.;175;11;9;12
McNuggets – 6 szt.;270;17;14;19
McNuggets – 9 szt.;395;25;20;28
McRoyal;530;32;28;36
McTost Bekon i Ser;275;13;12;28
McTost Pieczarki i Ser;250;11;7;37
McTost Szynka i Ser;265;15;10;28
McWrap Bekon DeLuxe Chrupiący Kurczak;445;23;15;53
McWrap Bekon DeLuxe Grillowany Kurczak;340;25;8;44
McWrap Klasyczny Chrupiący Kurczak;465;23;16;56
McWrap Klasyczny Grillowany Kurczak;365;26;9;44
McWrap śniadaniowy – jajko i bekon;495;18;23;52
McWrap śniadaniowy – Wieprzowy z pieczarkami;680;20;44;48
McWrap śniadaniowy wieprzowy z jajecznicą;590;25;38;36
Miód;25;0;0;6
Musli&jogurt;290;9;11;38
Owocogurt;195;7;7;25
Placek ziemniaczany;135;1;8;14
Sałatka Grillowany Kurczak Premium;210;27;8;6
Sałatka Kurczak Premium;315;25;15;18
Sałatka z sosem;10;1;0;1
Shake o smaku czekoladowym duży;335;9;7;58
Shake o smaku czekoladowym mały;200;5;4;36
Shake o smaku truskawkowym duży;330;8;6;61
Shake o smaku truskawkowym mały;210;5;4;38
Shake o smaku waniliowym duży;325;8;6;60
Shake o smaku waniliowym mały;205;5;4;37
Snack Wrap;240;9;10;27
Snack Wrap z Jajecznicą;230;12;11;22
"Sok jabłkowy 0;2 l";90;0;0;23
Sok pomarańczowy;100;2;0;22
Sos 1000 wysp;80;0;8;3
Sos barbecue;45;0;0;11
Sos Blue Cheese;100;1;10;1
Sos cesarski;100;2;9;3
Sos czosnkowy;65;0;6;3
Sos jogurtowo-koperkowy;30;0;1;5
Sos musztardowy;60;1;3;7
Sos słodko-kwaśny;50;0;0;12
Sos winegret;185;0;20;1
Sprite duży;116;0;0;29
Sprite mały;60;0;0;15
Sprite średni;95;0;0;23
Sweet McGriddies – 2 szt.;225;4;6;38
WieśMac;580;29;36;33
Woda mineralna;0;0;0;0
