Produkt;Kalorie [kcal];Białko [g];Tłuszcz [g];Węglowodany [g]
Baranina, biodrówka;194;13.5;14.8;1.7
Baranina, łopatka;284;15.6;25;0
Baranina, mostek;381;12;37;0
Baranina, polędwica;112;20.4;3.4;0
Baranina, sznycel;131;19.1;6.1;0
Baranina, udziec;232;18;18;0
Cielęcina, goleń;98;20.9;1.6;0
Cielęcina, łopatka;106;19.9;2.8;0
Cielęcina, mostek;131;18.6;6.3;0
Cielęcina, polędwica;95;20.6;1.4;0
Cielęcina, sznyclówka;105;20.5;2.4;0
Cielęcina, udziec;108;19.9;3.1;0
Flaki;84;16;2.2;0
Grasica cielęca;99;17.2;3.4;0
Jagnięcina, udziec;160;19.4;9.1;0
Konina, mięso bez kości;109;21.5;2.5;0
Konina, mięso z kością;109;21.5;2.5;0
Kości, wywar;5;1.2;0;0
Mózg barani;128;10.9;9.1;0.6
Mózg cielęcy;111;10.1;7.6;0.5
Mózg wieprzowy;139;11.1;10.6;0
Nerki wieprzowe;102;16.8;3.8;0
Nerki wołowe;95;15.6;3.6;0
Nogi wieprzowe;274;23;20.4;0
Ozór barani;194;18.7;13.2;0
Ozór wieprzowy;165;16.5;11.1;0
Płuca baranie;95;18.4;2.3;0.2
Serca wieprzowe;111;16.9;4.8;0
Serce baranie;157;16.8;10;0
Serce cielęce;113;15.9;5.1;1
Serce wołowe;117;16.9;5.3;0.4
Wątroba barania;133;21.2;4;3
Wątroba cielęca;124;19.2;3.3;4.1
Wątroba wieprzowa;130;22;3.4;2.6
Wątroba wołowa;125;20;3.1;4
Wieprzowina, boczek bez kości;510;10.1;53;0
Wieprzowina, golonka ze skórą;294;18.6;24.7;0
Wieprzowina, karkówka;267;16.1;22.8;0
Wieprzowina, łopatka;257;16;21.7;0
Wieprzowina, podgardle;630;7.4;67.8;0
Wieprzowina, schab środkowy z kością;174;21;10;0
Wieprzowina, szynka surowa;261;18;21.3;0
Wieprzowina, żeberka;321;15.2;29.3;0
Wołowina, łata;216;19.1;15.5;0
Wołowina, ogon;225;21.4;15.7;0
Wołowina, pieczeń;117;20.9;3.6;0
Wołowina, polędwica;113;20.1;3.5;0
Wołowina, rostbef;152;21.5;7.3;0
Wołowina, rozbratel;157;16.7;10.1;0
Wołowina, szponder;217;19.3;15.7;0
