Produkt;Kalorie [kcal];Białko [g];Tłuszcz [g];Węglowodany [g]
Deser mleczny, ryżowo-jabłkowy;134;2.8;3;23.9
Deser mleczny, ryżowo-waniliowy;133;3;2.9;23.5
Jogurt bananowy, 1,5% tłuszczu;70;3.7;1.5;10.4
Jogurt jagodowy, 1,5% tłuszczu;62;3.7;1.5;8.8
Jogurt morelowy, 1,5% tłuszczu;63;3.7;1.5;8.9
Jogurt naturalny, 2% tłuszczu;60;4.3;2;6.2
Jogurt truskawkowy, 1,5% tłuszczu;60;3.6;1.5;8.2
Jogurt wiśniowy, 1,5% tłuszczu;61;3.7;1.5;8.2
Kefir, 2% tłuszczu;51;3.4;2;4.7
Maślanka spożywcza, 0.5% tłuszczu;37;3.4;0.5;4.7
Mleko klaczy;47;2.2;1.5;6.2
Mleko kobiece;72;1.3;4.3;7
Mleko kozie;68;3.2;4.1;4.5
Mleko odtłuszczone, w proszku;360;35.7;0.8;51.2
Mleko owcze;107;6;7;5.1
Mleko pełne, w proszku;479;27;24;38.7
Mleko sojowe;53;3.5;1.8;5.8
Mleko spożywcze, 0.5% tłuszczu;39;3.5;0.5;5.1
Mleko spożywcze, 1.5% tłuszczu;47;3.4;1.5;5
Mleko spożywcze, 2% tłuszczu;51;3.4;2;4.9
Mleko spożywcze, 3.2% tłuszczu;61;3.3;3.2;4.8
Mleko spożywcze, 3.5% tłuszczu;64;3.3;3.5;4.8
Mleko zagęszczone, niesłodzone;131;6.6;7.5;9.4
Mleko zagęszczone, słodzone;326;7.5;8;55.3
Napój mleczny jogurtowy;82;4;1.9;12.1
Napój mleczny kawowy;81;3.3;2.1;12.1
Ser Appenzeller, 50% tłuszczu;386;25.4;31.6;0
Ser Back-Camembert, 45% tłuszczu; 45% tłuszczu;229;19;17
Ser Bavaria Blue, 70% tłuszczu;413;13.2;40;0
Ser Bel Paese;373;25.4;30.2;0
Ser Bleu d’Auvergne 50% tłuszczu;358;22.9;29.6;0
Ser Bleu de Bresse, 50% tłuszczu;358;22.9;29.6;0
Ser Cambozola, 70% tłuszczu;413;13.2;40;0
Ser Edamski wędzony;334;26.4;24.9;1
Ser Favorel, Danbo, 45% tłuszczu;325;24.1;25.4;0
Ser Gorgonzola;360;19.4;31.2;0
Ser Gruyère, 45% tłuszczu;399;26.9;32.1;0
Ser Herceński, moguncki;126;30;0.7;0
Ser Jarlsberg, 45% tłuszczu;349;26.7;26.9;0
Ser kozi miękki, 45% tłuszczu;280;21;21.8;0
Ser kozi w plasterkach, 48% tłuszczu;329;21.6;27;0
Ser Leerdamski,45% tłuszczu;352;25.9;27.6;0
Ser Limburski, 20% tłuszczu;184;26.4;8.6;0
Ser Limburski, 40% tłuszczu;268;22.4;19.7;0
Ser Lindenberski lekki, 30% tłuszczu;286;31;18;0
Ser Lindenberski, 45% tłuszczu;386;28.9;30;0
Ser Maaslandzki, 50% tłuszczu;355;22.2;29.6;0
Ser Mascarpone;460;4.6;47.5;3.6
Ser miękki z zielonym pieprzem, 60% tłuszczu;366;16.8;33.2;0
Ser Moorbier, 40% tłuszczu;297;23.8;22.4;0
Ser owczy;314;20.5;25.4;1.7
Ser Pirenejski, 50% tłuszczu, Bryndza;356;22.3;29.6;0
Ser Pleśniowy, 60% tłuszczu;355;21.1;29.8;0
Ser Provolone;365;26.3;28.9;0
Ser Raclette, 48% tłuszczu;343;22.7;28;0
Ser Robiola, 75% tłuszczu;333;7;33;1.9
Ser Romadur, 20% tłuszczu;187;26.4;9;0
Ser Romadur, 30% tłuszczu;226;24.8;14.1;0
Ser Tête de Moine, 50% tłuszczu;386;24.5;32;0
Ser twarogowy chudy;99;19.8;0.5;3.5
Ser twarogowy półtłusty;133;18.7;4.7;3.7
Ser twarogowy tłusty;175;17.7;10.1;3.5
Ser typu „Feta”;215;17;16;1
Ser typu Roqefort (Niva);345;20;28.9;1.3
Ser Westberski, 45% tłuszczu;352;25.9;27.6;0
Ser, Brie pełnotłusty;329;19.8;28;0.2
Ser, Camembert pełnotłusty;291;21.4;23;0.2
Ser, Cheddar pełnotłusty;391;27.1;31.7;0.1
Ser, Edamski tłusty;313;26.1;23.4;0.1
Ser, Ementaler pełnotłusty;380;28.8;29.7;0.1
Ser, Gouda tłusty;316;27.9;22.9;0.1
Ser, Myśliwski pełnotłusty;346;25.5;27.4;0.1
Ser, Myśliwski tłusty;338;29;24.9;0.1
Ser, Parmezan;452;41.5;32;0.1
Ser, Rokpol pełnotłusty;363;22.6;30.6;0.1
Ser, Salami pełnotłusty;351;25.2;28.1;0.1
Ser, Trapistów pełnotłusty;367;23.5;30.7;0.1
Ser, Trapistów tłusty;351;28;26.8;0.1
Ser, Tylżycki pełnotłusty;353;26.1;27.9;0.1
Ser, Tylżycki tłusty;334;27.8;25;0.1
Serek homogenizowany, pełnotłusty;161;12.7;11;3
Serek homogenizowany, truskawkowy;168;15.3;3.9;17.7
Serek homogenizowany, waniliowy;159;16.8;4.2;13.3
Serek topiony, edamski;298;13.5;27;1.2
Serek twarogowy, ziarnisty;101;12.3;4.3;3.3
Serek typu ”Fromage” naturalny;379;10.2;37.1;2.4
Serek typu „Fromage” z czosnkiem;367;10;35.2;4
Śmietana, 12% tłuszczu;133;2.7;12;3.9
Śmietana, 18% tłuszczu;184;2.5;18;3.6
Śmietanka do kawy, 9% tłuszczu;107;2.8;9;4
Śmietanka kremowa, 30% tłuszczu;287;2.2;30;3.1
