Produkt;Kaloryczność [kcal];Białko [g];Tłuszcz [g];Węglowodany [g]
Coca cola, pepsi cola;42;0;0;10.4
Herbata, napar bez cukru;0;0.1;0;0
Kawa, napar bez cukru;2;0.2;0;0.3
Lemoniada;24;0;0;5.8
Napoje gazowane o smaku owocowym;42;0;0;10.3
Napój jabłkowo-miętowy;42;0;0.1;10.1
Napój winogronowy;36;0;0;9.1
Sok ananasowy;48;0.3;0.1;11.4
Sok cytrynowy;30;0.4;0.3;6.4
Sok grejpfrutowy;40;0.5;0.1;9.2
Sok jabłkowy;42;0.1;0.1;10
Sok marchwiowo-brzoskwiniowy;44;0.5;0.1;11.3
Sok marchwiowo-jabłkowo-pomarańczowy;44;0.6;0.2;11.8
Sok marchwiowo-jabłkowy;46;0.5;0.3;12.3
Sok marchwiowo-pomarańczowy;40;0.6;0.1;10.8
Sok marchwiowy;43;0.4;0.1;11.3
Sok pomarańczowy;43;0.6;0.1;9.9
Sok pomidorowy;14;0.8;0.1;3.3
Sok wielowarzywny;25;1;0.3;5.7
Sok z aceroli;22;0.3;0.3;4.5
Sok z marchwi, jabłek i owoców tropikalnych;52;0.7;0.3;14
