Produkt;Kaloryczność [kcal];Białko [g];Tłuszcz [g];Węglowodany [g]
Acerola, surowa;16;0.2;0.2;2.6
Agrest;41;0.8;0.2;11.8
Ananas;54;0.4;0.2;13.6
Ananas, plastry w syropie;84;0.4;0.1;21
Arbuz;36;0.6;0.1;8.4
Awokado;160;2;15.3;7.4
Banan;95;1;0.3;23.5
Banany, suszone;360;3.8;1.1;88.8
Bez czarny, owoce;54;2.6;1.7;6.5
Brzoskwinia;46;1;0.2;11.9
Brzoskwinie w syropie;73;0.4;0.1;18.2
Cherymoja (anone);63;1.5;0.3;13.6
Cytryna;36;0.8;0.3;9.5
Czarne jagody;45;0.8;0.6;12.2
Czarne jagody, mrożone;45;0.8;0.6;12.2
Czereśnie;61;1;0.3;14.6
Daktyle, suszone;277;2;0.4;74
Dzika róża, owoce;89;2;0.7;18.7
Dżem ananasowy, niskosłodzony;157;0.2;0.1;38.6
Dżem brzoskwiniowy, niskosłodzony;155;0.5;0.1;38.3
Dżem jagodowy, niskosłodzony;153;0.3;0.2;38.2
Dżem morelowy, niskosłodzony;157;0.4;0.1;38.8
Dżem pomarańczowy, niskosłodzony;159;0.3;0.1;39.2
Dżem śliwkowy, niskosłodzony;153;0.3;0.1;37.9
Dżem śliwkowy, wysokosłodzony;251;0.3;0.1;62.1
Dżem truskawkowy, niskosłodzony;153;0.3;0.2;37.8
Dżem truskawkowy, wysokosłodzony;252;0.3;0.2;62.3
Dżem wiśniowy, niskosłodzony;154;0.4;0.2;37.5
Dżem wiśniowy, wysokosłodzony;252;0.4;0.2;61.7
Dżem z czarnych porzeczek, niskosłodzony;152;0.5;0.1;39.6
Dżem z czarnych porzeczek, wysokosłodzony;251;0.5;0.1;63.9
Dżem z owoców kiwi, niskosłodzony;154;0.4;0.2;37.8
Figi, suszone;290;3.6;1.2;78
Figi, świeże;77;0.8;0.3;19.1
Granaty;74;0.7;0.6;16.7
Grejpfrut;36;0.6;0.2;9.8
Gruszka;54;0.6;0.2;14.4
Gujawa;38;0.8;0.6;11.9
Jabłka, suszone;238;2.1;2.1;62.3
Jabłko;46;0.4;0.4;12.1
Jarzębina słodka, owoce;85;1.5;0;18
Jeżyny, surowe;54;1.4;1;12.4
Kaki (persymona);70;0.6;0.3;16
Kiwi;56;0.9;0.5;13.9
Kumkwat, surowy;64;0.6;0.3;14.6
Liczi (śliwa chińska);75;0.9;0.3;17
Limonka, surowa;39;0.5;2.4;1.9
Malinojeżyny, surowe;64;1.1;15;1.1
Maliny;29;1.3;0.3;12
Maliny, mrożone;29;1.3;0.3;12
Mandarynki;42;0.6;0.2;11.2
Mango;67;0.5;0.3;17
Marakuja (passiflora), surowa;63;2.4;0.4;9.5
Melon;36;0.9;0.3;8.4
Mirabelki;67;0.7;0.2;15
Morele;47;0.9;0.2;11.9
Morele, suszone;284;5.4;1.2;72.2
Morwa, całe owoce;38;1.3;0;8.1
Nektarynka;48;0.9;0.2;11.8
Oliwki zielone, konserwowe;125;1.4;12.7;4.1
Owoce opuncji (figa kaktusowa);38;0.8;0.7;7.1
Papaja;41;0.6;0.1;11.1
Pomarańcza;44;0.9;0.2;11.3
Porzeczki białe;33;1;0.2;13.1
Porzeczki czarne;35;1.3;0.2;14.9
Porzeczki czarne, mrożone;35;1.3;0.2;14.9
Porzeczki czerwone;31;1.1;0.2;13.8
Powidła śliwkowe;214;1;0.2;53
Poziomki;33;0.8;0.5;8.3
Rodzynki, suszone;277;2.3;0.5;71.2
Syrop truskawkowy;264;0.2;0.1;65
Śliwki;45;0.6;0.2;11.7
Śliwki bez pestek, mrożone;45;0.6;0.2;11.7
Śliwki z pestką, suszone;267;3.5;1.2;68.9
Truskawki;28;0.7;0.4;7.2
Truskawki, mrożone;28;0.7;0.4;7.2
Winogrona;69;0.5;0.2;17.6
Wiśnie;47;0.9;0.4;10.9
Wiśnie bez pestek, mrożone;47;0.9;0.4;10.9
Żurawina;49;0.6;0.7;11.7
