Produkt;Kalorie [kcal];Białko [g];Tłuszcz [g];Węglowodany [g]
BBQ McCornick sos;51;0.8;0.2;11.6
Bruschetta;300;6.4;11.9;41.6
Calzone;505;32;19.5;50.5
Calzone pepperoni;1380;77.4;77.4;120.2
Caprese;343;22.6;26.7;2.7
Cebulowa;123;3.9;7.6;7.3
Cezar;716;32.7;41.3;47.5
Fana Banana;512.6;9.7;9.3;97.5
Fanfalle di Pollo;884;48.8;36.7;90.2
Farfale di Concretto;789;48.9;29.5;82.2
Hot chocolate cookie;837.2;12.4;43.3;99.5
Krem pomidorowy;95;2.5;4.3;10.5
Kulka lodów czekoladowych;71.6;1.3;3.7;7.5
Kulka lodów truskawkowych;62.6;1;3.3;7
Kulka lodów waniliowych;61.7;1.1;3.3;6.9
Lasagne Classica;596;26.1;33.8;40.4
Lasagne Rolls;607;28.2;48;48
Lasagne Rolls Spinachi;528;29;26.4;38.7
Lava cake;819;12.6;46.2;90.3
Owocowe kruchości jabłko;495.3;4.1;21.9;69.8
Owocowe kruchości truskawka;375;3.5;20.6;43.3
Pan Pizza sauce;25;0.9;0.1;5.3
Penne Carbonara;1067;27.1;70.8;80.5
Penne Funghi;1045;22.8;70.1;81.3
Penne Funghi z kurczakiem (60 g);1548;99.5;91.6;98.5
Penne Salmone;1024;29.9;64.7;81.3
Pieczarki faszerowane;261;15.3;19.5;6.3
Pieczywo czosnkowe bez sera (4 szt.);348;7.2;14.2;47.9
Pieczywo czosnkowe z serem (4 szt.);583;23;26.1;58
Pizza Classic amerycana;1076.7;54.8;33;139.7
Pizza Classic carbonara;1430;65.5;68.8;138.1
Pizza Classic europejska;1220.1;69.3;42.9;139.1
Pizza Classic farmerska;1130.5;62.7;35.4;140.9
Pizza Classic hawajska;1118.3;60.1;33.3;145.1
Pizza Classic hot pepperoni;1180;59.5;41.5;143
Pizza Classic margherita;1014.8;54.2;36.1;114.4
Pizza Classic marrakesz;1388.1;74.2;56.2;146.1
Pizza Classic mięsna;1336;73.2;54.4;138.2
Pizza Classic pepperoni;1148.6;58.1;41;137.5
Pizza Classic quatro formaggi;1452.3;75.4;64.3;144
Pizza Classic super supreme;1399.4;81.7;56.4;140.5
Pizza Classic supreme;1282.4;67.5;50.5;140.1
Pizza Classic teksas;1333.2;73.9;40.6;168.5
Pizza Classic wegetariańska;1103.6;57.5;33.5;142.1
Pizza Pan americana;1451.4;64;65.2;153.8
Pizza Pan carbonara;1616.2;72.6;71.9;169.5
Pizza Pan europejska;1629;81.1;76.6;152.5
Pizza Pan farmerska;1531.9;74.1;67.7;155.7
Pizza Pan hawajska;1526.3;72.8;65.7;161
Pizza Pan hot pepperoni;1654.7;72.3;81.8;156.6
Pizza Pan margherita;1382.4;60.5;61.6;159.3
Pizza Pan marrakesz;1727.5;80.7;85.4;159.4
Pizza Pan mięsna;1849;90.8;96.7;152
Pizza Pan pepperoni;1583;69.1;77.8;150.7
Pizza Pan quatro formaggi;1639;70.5;87.5;141.7
Pizza Pan super supreme;1939;102.8;100.5;154.6
Pizza Pan supreme;1742.3;80.6;89.7;153.9
Pizza Pan teksas;1618.8;69.6;71.7;174.7
Pizza Pan wegetariańska;1457.3;66.2;64;153.8
Pizza Tuscany capricciosa;993;62.9;50.7;67.7
Pizza Tuscany chorizzo;1084;64;45.2;100
Pizza Tuscany pollo con fungi;867;47.7;32;94.1
Pizza Tuscany prima mozzarella;952;54.1;42.2;85.3
Pizza Tuscany prosciutto e ruccola;912;53.1;41.3;78.4
Pizza Tuscany z kozim serem;1091;51.7;48.6;104.9
Rolsy wegetariańskie;498;26.8;26;37.1
Rolsy z kurczakiem;540;32.8;29.6;34
Rolsy z szynką;640;30.2;39.5;39.7
Sałatka Parna;380;17.6;30.9;5
Sałatka Salmone;242;15.5;15.2;7.1
Sałatka śródziemnomorska;191;8.3;12.6;11.2
Sałatka Vega Cezar;617;11;40.5;46.9
Sałatka z Gryllowanymi Warzywami;267;6.6;21.1;9.2
Sałatka z kozim serem i gruszką;354;19.5;19.8;21.8
Sernik;447.1;11.4;22.3;50.5
Skrzydełka kurczaka (6 szt.);413;35.2;26.5;3.9
Sos czosnkowy;216;0.2;22.6;2.9
Sos majonezowo-czosnkowy;129;0.1;13.6;1.7
Sos majonezowo-musztardowy;107;0.2;11.3;1.5
Sos salsa;41;0.6;0.2;9.5
Sos serowy (Fanex);67;1.3;6;2.5
Spaghetti Bolognese;885;39.2;39.2;94.3
Sweet Shots – chocolate flan;144;1.6;8.4;10
Sweet Shots – panna cotta;192;1.1;15.6;11.3
Sweet Shots – vanila cream;136.7;1.1;7.8;14.4
Tagliatelle Molto Bene;1035;21.2;68.5;83.7
Vinaigrette Sauce Fanex;29;0;0.8;5.3
Ziemniaczane łódeczki;221;3.9;4.3;0.7
