Produkt;Kalorie [kcal];Białko [g];Tłuszcz [g];Węglowodany [g]
Bagietki francuskie;283;8.7;1.7;59.2
Bułeczki do hot-dogów;341;9.5;7.5;59.8
Bułka tarta;347;9.7;1.9;77.6
Bułki grahamki;252;9;1.7;56.1
Bułki i rogale maślane;327;8.5;5.9;61
Bułki mieszane, z cebulą;284;7.9;3.5;58.4
Bułki mleczne;314;9.2;4.5;60.3
Bułki owsiane;304;9.3;4.5;58.4
Bułki pszenne zwykłe;273;8.1;1.5;57.7
Bułki pszenne zwykłe, z serwatką;277;8.8;1.6;58
Bułki sojowe;315;10.1;4;61.1
Bułki szwedki;272;7.6;1.3;58.8
Bułki wrocławskie;294;8;4.4;56.6
Chałki zdobne;333;7.8;7;60.8
Chleb baltonowski;251;7;1.5;54.8
Chleb beskidzki;248;7.5;1.7;55.7
Chleb chrupki;353;8.7;2.4;78.9
Chleb ekstrudowany pszenny;381;9.2;5.2;78.3
Chleb ekstrudowany żytni;383;8.2;6.1;78.6
Chleb graham;221;8.3;1.7;48.7
Chleb mazowiecki;254;7.6;1.4;55
Chleb mieszany jasny, rodzynkowy;261;5.8;1.4;58.6
Chleb mieszany pytlowy, z cebulą;259;5.7;3.6;54.2
Chleb mieszany razowy, z bakaliami;247;7.2;3.9;51.4
Chleb mieszany sitkowy, z ziarnami;242;8;3;50.5
Chleb mieszany, słonecznikowy;240;6.8;4.5;48.9
Chleb mieszany, z płatkami owsianymi;238;7;2.3;54.2
Chleb mieszany, z soją;226;7.1;2.7;49.2
Chleb mleczny;256;7.7;1.5;55.3
Chleb nałęczowski;248;6.6;1.3;55.3
Chleb poleski;247;7.1;2.1;54.5
Chleb praski;248;6.6;1.3;55.3
Chleb pszenny;257;8.5;1.4;54.3
Chleb pszenny tostowy;262;7.4;4.5;48
Chleb pszenny, z ziarnem pszenicy;223;8.3;1.8;49.5
Chleb wiejski;245;6.9;1.3;54
Chleb wielkopolski;254;6.7;1.5;56.6
Chleb zakopiański;261;7.7;1.5;56.9
Chleb zwykły;248;6.1;1.3;56.3
Chleb żytni jasny;243;3.8;1.3;57.4
chleb żytni jasny mleczny;258;4.6;1.8;59.1
Chleb żytni mieszany z otrębami;207;6.3;1.5;42.1
Chleb żytni pełnoziarnisty;225;6.8;1.8;53.8
Chleb żytni pytlowy;240;4.4;1.5;56.2
Chleb żytni razowy;213;5.9;1.7;51.2
Chleb żytni razowy litewski;224;6.6;1.7;52.6
Chleb żytni razowy na miodzie;225;5.6;1.6;54
Chleb żytni razowy wytrawny;217;7;1.7;50.8
Chleb żytni razowy z soją i słonecznikiem;226;7.8;3.5;48.7
Chleb żytni razowy, ze śliwką;228;5.3;1.6;54.3
Chleb żytni sitkowy;220;5.4;1.5;53
Chleb żytni staropolski;225;4.5;1.4;52.1
Chleb żytni śrutowy i pełnoziarnisty;195;7.3;1.2;38.8
Chleb żytni wileński;218;4.4;1.5;52.2
Chrupki kukurydziane;352;8.9;3;78.9
Ciabatta;298;8.7;3.6;58.7
Kajzerki;296;8.4;3.6;58.6
Kasza gryczana;336;12.6;3.1;69.3
Kasza jaglana;346;10.5;2.9;71.6
Kasza jęczmienna, perłowa;327;6.9;2.2;75
Kasza jęczmienna, pęczak;334;8.4;2;74.9
Kasza manna;348;8.7;1.3;76.7
Kasza owsiana;326;9.9;7.1;55.7
Kuskus;356;14.2;1.2;68.7
Maka żytnia, typ 2000;301;8.1;2.2;74
Makaron bezjajeczny;364;11;1.6;77.6
Makaron bezjajeczny z semoliny;367;10.7;1.4;79.4
Makaron czterojajeczny;391;13.2;3.4;78.3
Makaron dwujajeczny;373;12;2.6;76.8
Makaron dwujajeczny z semoliny;374;11.9;2.4;77.8
Makaron pełnoziarnisty;343;15;3;64
Mąka gryczana pełna;354;11.7;2.7;70.7
Mąka jęczmienna;338;9.2;3;64.7
Mąka jęczmienna pełnoziarnista;348;10.6;1.9;72
Mąka kukurydziana;337;5.9;3;78
Mąka orkiszowa;348;13.4;1.8;72.7
Mąka owsiana;363;12.9;5.9;68.1
Mąka pszenna, typ 1850;309;11.9;2.3;70
Mąka pszenna, typ 500;343;10.1;1.2;74
Mąka pszenna, typ 550;344;10.5;1.6;73
Mąka pszenna, typ 750;341;11.6;1.8;71.3
Mąka ryżowa;348;7.2;0.7;79.2
Mąka z pszenicy durum;354;12.3;1.2;73.7
Mąka żytnia, typ 1400;310;7.1;2.2;75.3
Mąka żytnia, typ 580;330;5.1;1.5;78.5
Mąka żytnia, typ 720;327;5.9;1.7;77.4
Müsli czekoladowe;399;10;11.5;63.8
Müsli owocowe bez cukru;363;10.7;8.8;60.2
Müsli z owocami suszonymi;325;8.4;3.4;72.2
Müsli z rodzynkami i orzechami;375;11.5;12.7;62.9
Orkisz;362;15.4;4.1;70.7
Otręby pszenne;185;16;4.6;61.9
Otręby żytnie;176;18;4.3;16.3
Pieczywo tostowe;305;8.1;4.7;58.8
Pieczywo tostowe, grahamowe;273;7.5;4.2;53.8
Płatki jęczmienne;355;9.8;3.6;79.4
Płatki kukurydziane;363;6.9;2.5;83.6
Płatki kukurydziane z miodem i orzechami;387;6.4;5.1;82.6
Płatki otrębowe, słodzone cukrem;243;12;3;42
Płatki owsiane;366;11.9;7.2;69.3
Płatki pszenne;351;9;3;81
Płatki żytnie;343;6.4;3.2;82.6
Proso;372;13.6;4.4;71.2
Pumpernikiel;240;5.9;2;58.2
Quinoa;335;13.8;5;58.5
Ryż biały;344;6.7;0.7;78.9
Ryż brązowy;322;7.1;1.9;76.8
Ryż dziki;338;7;2;73
Ryż preparowany;361;6.3;1.6;84.1
Semolina;346;10.1;1.3;75
Skrobia kukurydziana;353;0.2;0;88.5
