Produkt;Kalorie [kcal];Białko [g];Tłuszcz [g];Węglowodany [g]
Dorsz, świeży;78;17.7;0.7;0
Dorsz, świeży, filet bez skóry;70;16.5;0.3;0
Dorsz, wędzony;94;22.1;0.5;0
Flądra, świeża;83;16.5;1.8;0
Gładzica-płastuga, świeża;86;17.1;1.9;0
Halibut biały, świeży;98;20.1;1.9;0
Homary;81;15.9;1.9;0
Kalmary;73;16.1;0.9;0
Karmazyn atlantycki;105;18.2;3.6;0
Karp, świeży;110;18;4.2;0
Kawior namiastka;115;14;6.5;0
Kawior naturalny;244;26.1;15.5;0
Kraby;87;18.6;1.4;0
Kraby w puszce;92;17.4;2.5;0
Langusta;84;17.2;1.1;1.3
Leszcz;116;16.6;5.5;0
Lin;77;17.7;0.7;0
Łosoś, świeży;201;19.9;13.6;0
Łosoś, wędzony;162;21.5;8.4;0
Makrela, świeża;181;18.7;11.9;0
Makrela, wędzona;221;20.7;15.5;0
Małże – małgiew;54;10.5;1.3;0
Małże – omułek jadalny;69;10.5;2;2.4
Mięso raków, w puszkach;87;18;1.7;0
Mintaj, świeży;73;16.6;0.6;0
Morszczuk, świeży;89;17.2;2.2;0
Okoń, świeży;82;18.4;0.8;0
Ostrygi;66;9;1.2;4.8
Paprykarz „Szczeciński”;178;9.9;11.9;8.6
Pasztet rybny;265;10.6;21.3;8.8
Pasztet z ryb wędzonych;151;12.9;10.6;1.2
Pstrąg strumieniowy, świeży;97;19.2;2.1;0
Pstrąg tęczowy, świeży;160;18.6;9.6;0
Raki (rzeczne);64;15;0.5;0
Sałatka pikantna z makreli;181;10.2;13.2;6.9
Sałatka z dorsza;187;9.8;13.9;7.2
Sandacz, świeży;84;19.2;0.7;0
Sardynka w oleju;221;24.1;13.9;0
Sardynka w pomidorach;162;17;9.9;1.4
Sardynka, świeża;169;20.6;9.6;0
Sieja;100;17.8;3.2;0
Sola, świeża;83;17.5;1.4;0
Szczupak, świeży;82;18.4;0.8;0
Śledzie marynowane „Rolmopsy”;104;8;7;3
Śledź marynowany;192;16.5;12.6;3.4
Śledź w oleju;301;16.4;26.5;0
Śledź w sosie pomidorowym;160;13.8;9.7;4.6
Śledź w śmietanie;96;5.5;6.2;5.3
Śledź wędzony, „Pikling”;215;21.8;14.3;0
Śledź, solony;217;19.8;15.4;0
Śledź, świeży;161;16.3;10.7;0
Tuńczyk w oleju;190;27.1;9;0
Tuńczyk w wodzie;96;21;1.2;0
Tuńczyk, świeży;137;23.7;4.6;0
Turbot;82;16.7;1.7;0
Wątłusz/łupacz;77;17.9;0.6;0
Wędzone płaty brzuszne rekina;302;21.3;24.1;0
Węgorz, świeży;278;15;24.5;0
Węgorz, wędzony;326;17.9;28.6;0
Zębacz;80;15.8;1.9;0
