Produkt;Kalorie [kcal];Białko [g];Tłuszcz [g];Węglowodany [g]
Babeczki z kremem śmietankowym;437;8.1;20.4;56.1
Babka biszkoptowa;341;8.5;4.2;67.1
Babka drożdżowa luksusowa;368;8;13.4;55.1
Baton Bounty Milk;448;4.2;25.2;56.7
Baton Mars;451;3.6;18.2;68.9
Baton Milky Way;448;3.6;16.2;71.8
Baton Snickers;497;9.7;28.9;52.6
Baton Twix;483;5.3;23.2;64.2
Budyń czekoladowy, w proszku;320;4.5;2.5;70
Budyń waniliowy, śmietankowy, w proszku;346;0.5;0;86
Bułeczki drożdżowe z jabłkami;272;6.2;7.2;47.3
Bułeczki drożdżowe z powidłami śliwkowymi;343;7;6.5;65.2
Bułeczki drożdżowe, z nadzieniem makowym;352;7.8;8.1;63.8
Bułeczki drożdżowe, z nadzieniem serowym;339;8.5;6.9;61.7
Bułeczki z jabłkiem i kruszonką;270;6.7;7;45.9
Chałwa kakaowa;517;14.6;33.5;45.7
Chałwa waniliowa;516;14.2;33.1;46.4
Chałwa z bakaliami;510;16.5;34.4;39.8
Chałwa z orzechami;537;17.7;37.4;38.7
Chipsy bekonowe;537;5.9;38;52.2
Chipsy paprykowe;549;6;40;50.4
Chipsy solone;552;5.6;40.7;49.9
Ciastka „Karpatki”;456;4.9;30.8;40.7
Ciastka „Napoleonki”;348;6.1;16.9;43.5
Ciastka drożdżowe z truskawkami;383;8;13.6;58.5
Ciastka francuskie ze śliwkami;435;5.3;26.6;45.4
Ciastka ponczowe z kremem;393;4.6;17.3;55.3
Ciastka tortowe z owocami świeżymi;275;3.3;8.8;47.1
Ciasto drożdżowe;290;7.7;8;47.7
Ciasto kruche podstawowe;435;5.5;23.6;51.4
Cukier;405;0;0;99.8
Czekolada deserowa;531;5.3;28.9;64
Czekolada gorzka;554;6.7;34.3;56.6
Czekolada kawowa;526;5.5;29;62.7
Czekolada mleczna;549;9.8;32.8;54.7
Czekolada mleczna z orzechami laskowymi;539;8.6;30.9;57.3
Czekolada nadziewana;450;3.9;17.6;68.8
Czekolada śmietankowa z orzechami laskowymi;585;8.6;42.3;45.7
Delicje szampańskie;327;4.1;11.2;52.8
Eklery z bitą śmietaną;326;5.9;18;35.5
Faworki luksusowe;511;8.8;31.6;49.5
Groszek ptysiowy;476;14.9;30.2;37.6
Guma do życia;10;0;0;2.6
Herbatniki;437;8.2;11;76.8
Herbatniki „Corso”;440;5;17.2;67.1
Herbatniki kakaowe;474;6.9;22.3;62.9
Herbatniki kokosowe;473;6.4;25.2;59.8
Herbatniki sezamowe;503;8.1;28.6;55.7
Herbatniki w czekoladzie;489;6.3;24;63.1
Herbatniki w czekoladzie z orzechami;492;6;23.7;64.7
Herbatniki z cukrem;460;6.7;17.2;70.7
Herbatniki z czekoladą;493;5.9;25.5;61.2
Herbatniki z nadzieniem czekoladowym;497;5.5;27.9;57.3
Herbatniki z nadzieniem owocowym;390;3.8;16.1;58.6
Irysy, krówki;421;4.3;10.7;76.1
Jabłecznik ze świeżych jabłek;318;3.4;9.3;56.8
Jabłka w cieście francuskim;397;4.4;22.7;46.1
Jagodzianki;316;7.4;5.2;61
Kakao 16%, proszek;448;18.2;21.7;50.6
Kakao rozpuszczalne;404;3.8;3.1;89.8
Karmelki nadziewane;378;0.3;0.5;92
Karmelki twarde;399;0;0;98.2
Keks bakaliowy;385;6.5;17.5;53.7
Kisiel owocowy, w proszku;332;0;0;83
Krem czekoladowy, w proszku;456;4;16.5;73
Krem owocowy, w proszku;322;0.5;0;80
Krem waniliowy, w proszku;401;1.5;13;69.5
Lody mleczne;127;5;3;20
Lody mleczno-owocowe;115;3;3;19
Lody owocowe;80;0;0;20
Lody śmietankowe;220;2;17;15
Marcepan;493;8;25;59
Markizy;483;5.6;23;64.3
Melasa;270;2.9;0;64.5
Miód pszczeli;324;0.3;0;79.5
Miód sztuczny;336;0.1;0;82.5
Nugat;500;5;24;66
Pasta orzechowa do chleba;528;4;31;58.4
Pączki tradycyjne;414;7.6;15.5;62.1
Pieczywo półfrancuskie, z dżemem;410;8.3;9.9;73
Pieczywo półfrancuskie, z serem;396;10.7;10;66.6
Piernik z bakaliami;373;6.6;12.4;60.9
Pierniki alpejskie;368;4;9.7;66.3
Pierniki beskidzkie;338;3.5;1.6;77.3
Placek z kruszonką;375;7.5;13.6;56.7
Ptysie z bitą śmietaną;346;5.5;24.9;25.7
Rogale kruche;331;8.2;7.2;59.4
Rożki z ciasta francuskiego z jabłkami;392;5;25.1;38.6
Sernik bez ciasta;363;13.5;18.3;36.8
Sernik krakowski;329;14;13.4;38.2
Sernik wiedeński z polewą kakaową;340;12.6;18.1;32.1
Sernik z makiem;444;12.5;23.4;49
Sezamki;402;10.2;26.4;34.7
Sezamki z orzechami;376;9.6;26.1;29.4
Strucla z makiem;361;8.3;15.5;51.2
Torcik „Wuzetka”;318;5.8;11.1;49
Tort ananasowy;309;4.4;10.7;49
Wafle nadziewane;519;8.3;27.5;60.7
Wafle w czekoladzie;553;7.4;33.9;55.6
Żelki;306;3;0;72.3
