Produkt;Kalorie [kcal];Białko [g];Tłuszcz [g];Węglowodany [g]
„Planta”, tłuszcz roślinny;884;0;100;0
Łój barani;747;3.9;81.3;0
Margaryna miękka, 45% tłuszczu;398;0;45;0
Margaryna miękka, 50% tłuszczu;442;0;50;0
Margaryna miękka, 60% tłuszczu;533;0.2;60;0.3
Margaryna miękka, 70% tłuszczu;621;0.1;70;0.4
Margaryna miękka, 80% tłuszczu;710;0.3;80;0.4
Margaryna twarda (kostkowa), 80% tłuszczu;710;0.3;80;0.4
Masło ekstra;735;0.7;82.5;0.7
Masło orzechowe;615;27.7;50.7;9.3
Masło śmietankowe;659;1.1;73.5;1.1
Olej arachidonowy;900;0;100;0
Olej kokosowy;883;0;99.9;0
Olej krokoszowy;884;0;100;0
Olej kukurydziany;884;0;100;0
Olej lniany;900;0;100;0
Olej palmowy;884;0;100;0
Olej rzepakowo-sojowy;884;0;100;0
Olej rzepakowy o obniżonej zawartości kwasu erukowego;884;0;100;0
Olej rzepakowy tłoczony na zimno;884;0;100;0
Olej rzepakowy uniwersalny;884;0;100;0
Olej sezamowy;884;0;100;0
Olej słonecznikowy;884;0;100;0
Olej sojowy;884;0;100;0
Olej z nasion bawełny;883;0;99.9;0
Olej z nasion bawełny;900;0;100;0
Olej z orzeszków ziemnych;884;0;99.9;0
Olej z pestek dyni;900;0;100;0
Olej z pestek winogron;884;0;100;0
Olej z pestek winogron;900;0;100;0
Olej z zarodków pszennych;884;0;100;0
Oliwa z oliwek;882;0;99.6;0.2
Skwarki;769;16.9;79.2;0
Słonina;797;2.4;89;0
Smalec;880;0;99.5;0
Smalec gęsi;896;0;99.5;0
Tłuszcz mieszany roślinno-zwierzęcy, 60% tłuszczu;573;0.9;64;0.9
Tran;899;0;99.9;0
