Produkt;Kalorie [kcal];Białko [g];Tłuszcz [g];Węglowodany [g]
Bakłażan;21;1.1;0.1;6.3
Bambus, kiełki;17;2.5;0.3;1
Bataty;108;1.6;0.6;24.1
Boćwina;17;2.1;0.5;5.5
Bób;66;7.1;0.4;14
Bób, mrożony;63;6.8;0.4;13.4
Brokuły;27;3;0.4;5.2
Brokuły, mrożone;24;2.7;0.4;4.7
Brukiew;29;1.2;0.2;5.7
Brukselka;37;4.7;0.5;8.7
Brukselka, mrożona;36;4.5;0.5;8.4
Burak;38;1.8;0.1;9.5
Buraki purée, mrożone;34;1.6;0.1;8.6
Cebula;30;1.4;0.4;6.9
Cebula, konserwowa;52;0.7;0.2;12.4
Cebula, mrożona;28;1.3;0.4;6.2
Cebulki perłowe;23;2;0.5;3
Chrzan;67;4.5;0.6;18.1
Ciecierzyca, kiełki;144;8.8;0.7;25.5
Cukinia;15;1.2;0.1;3.2
Cukinia, mrożona;15;1.2;0.1;3.2
Cykoria;21;1.7;0.2;4.1
Czosnek;146;6.4;0.5;32.6
Dynia;28;1.3;0.3;7.7
Endywia, surowa;14;1.8;0.2;1.2
Fasola biała, nasiona suche;288;21.4;1.6;61.6
Fasola cięta, konserwowa, bez zalewy;16;1.5;0.2;4.5
Fasola mung, kiełki;29;3;0.4;6.2
Fasola szparagowa;27;2.4;0.2;7.6
Fasolka flageolot, konserwowa;61;6.3;0.2;15
Fasolka szparagowa, mrożona;24;2.2;0.2;6.8
Groch, nasiona suche;293;23.8;1.4;60.2
Groszek zielony;75;6.7;0.4;17
Groszek zielony, konserwowy, bez zalewy;63;4.9;0.2;15.8
Groszek zielony, mrożony;72;6.4;0.4;16.3
Jarmuż;29;3.3;0.7;6.1
Kalafior;22;2.4;0.2;5
Kalafior, mrożony;20;2.2;0.2;4.5
Kalarepa;29;2.2;0.3;6.5
Kalarepa, mrożona;27;2;0.3;5.9
Kapusta biała;29;1.7;0.2;7.4
Kapusta biała, mrożona;26;1.5;0.2;6.7
Kapusta chińska;17;1.2;0.3;3
Kapusta czerwona;27;1.9;0.2;6.7
Kapusta kwaszona;12;1.1;0.2;3.4
Kapusta pekińska;12;1.2;0.2;3.2
Kapusta włoska;38;3.3;0.4;7.8
Kapusta włoska, mrożona;35;3;0.4;7
Karczochy surowe;22;2.4;0.1;2.6
Kiełki pszenicy;302;24.4;7.8;50.7
Koncentrat pomidorowy, 30%;92;5.6;1.5;16.7
Koper ogrodowy;26;2.8;0.4;6.1
Koper włoski;24;2.4;0.3;2.8
Kukurydza, kolby;110;3.7;1.5;23.4
Kukurydza, kolby, mrożona;105;3.6;1.4;22.5
Kukurydza, konserwowa;102;2.9;1.2;23.6
Liście mniszka lekarskiego;27;2.9;0.6;2.4
Lucerna, świeże kiełki;31;4;0.7;2.1
Marchew;27;1;0.2;8.7
Marchew, mrożona;24;0.9;0.2;7.8
Mąka sojowa odtłuszczona;371;47;1.2;38.4
Mąka sojowa pełnotłusta;424;45;23.5;20.1
Ogórek;13;0.7;0.1;2.9
Ogórek kwaszony;11;1;0.1;1.9
Ogórki z papryką, konserwowe;41;0.3;0.1;9.9
Ogórki, konserwowe;24;0.3;0.1;5.6
Papryka czerwona;28;1.3;0.5;6.6
Papryka czerwona, konserwowa;30;0.8;1.5;5
Papryka czerwona, mrożona;28;1.3;0.5;6.6
Papryka zielona;18;1.1;0.3;4.6
Pasternak;57;1.6;0.6;15.5
Pietruszka, korzeń;38;2.6;0.5;10.5
Pietruszka, korzeń, mrożona;34;2.3;0.5;9.5
Pietruszka, liście;41;4.4;0.4;9
Pikle, konserwowe;62;1.3;0.2;15.5
Płatki ziemniaczane;335;6.7;2.5;78.2
Pokrzywa;44;7;0.6;1.3
Pomidor;15;0.9;0.2;3.6
Por;24;2.2;0.3;5.7
Por, mrożony;24;2.2;0.3;5.7
Portulaka;11;1.5;0.3;0.6
Pyzy ziemniaczane w proszku;324;5.1;1.4;77.3
Rabarbar;9;0.5;0.1;4.6
Roszponka;14;1.8;0.4;0.7
Rukiew wodna;18;1.6;0.3;2.3
Rukola;24;2.6;0.7;2.1
Rzepa;26;1.1;0.3;8.2
Rzeżucha;33;4.2;0.7;2.5
Rzodkiew biała;20;1.3;0.1;4.2
Rzodkiewka;14;1;0.2;4.4
Sałata;14;1.4;0.2;2.9
Sałata lodowa;13;0.7;0.3;1.9
Sałatka szwedzka, konserwowa;36;0.4;0.1;8.6
Sałatka z czerwonej kapusty, konserwowa;88;1.1;0.1;21.9
Seler korzeniowy;21;1.6;0.3;7.7
Seler korzeniowy, mrożony;18;1.4;0.3;6.9
Seler naciowy;13;1;0.2;3.6
Skorzonera;16;1.4;0.4;1.6
Skrobia ziemniaczana;343;0.6;0.1;83.9
Soczewica czerwona, nasiona suche;327;25.4;3;57.5
Soczewica, kiełki;119;9;0.6;22.1
Soja, kiełki;141;13.1;6.7;9.6
Soja, nasiona suche;382;34.3;19.6;32.7
Sos keczup;93;1.8;1;22.2
Szczaw;21;1.1;0.8;4.9
Szczypiorek;29;4.1;0.8;3.9
Szparagi;18;1.9;0.2;3.7
Szparagi, konserwowe;19;2.1;0.7;2.5
Szpinak;16;2.6;0.4;3
Szpinak, mrożony;15;2.3;0.4;2.7
Tofu;76;7.8;4.2;2.2
Topinambur (słonecznik bulwiasty);30;2.4;0.4;4
Ziemniaki, mrożone;69;1.7;0.1;16.5
Ziemniaki, późne;85;1.9;0.1;20.5
Ziemniaki, średnio;77;1.9;0.1;18.3
Ziemniaki, wczesne;69;1.8;0.1;16.3
