Produkt;Kalorie [kcal];Białko [g];Tłuszcz [g];Węglowodany [g]
Baleron gotowany;244;15.1;20.2;0.9
Baton szynkowy z indyka;143;14.9;9.3;0.1
Baton z kurczaka;144;16.7;8.6;0.1
Kabanosy;326;27.4;24.3;0
Kabanosy z kurczaka;247;22.8;17.4;0.1
Kaszanka z kurczaka;204;9.8;11.7;16.4
Kiełbasa delikatesowa z kurczaka;109;19.6;3.3;0.1
Kiełbasa domowa;320;14.7;29.2;0.5
Kiełbasa jałowcowa z kurczaka;236;19;17.9;0.1
Kiełbasa kanapkowa z kurczaka;179;11.8;13.5;3
Kiełbasa krakowska, sucha;323;25.6;24.8;0
Kiełbasa lubuska;249;17.5;18;4.8
Kiełbasa mazurska z indyka;129;14.8;7.7;0.1
Kiełbasa mortadela;205;12;17.7;0
Kiełbasa mortadela z indyka;209;11;18.5;0.1
Kiełbasa myśliwska, sucha;291;27.8;20.1;0
Kiełbasa parówkowa;323;11;31.5;0
Kiełbasa podlaska z kurczaka;232;20.7;16.7;0.1
Kiełbasa podsuszana z kurczaka;162;21.7;8.4;0
Kiełbasa podwawelska;247;17.3;19.6;0.9
Kiełbasa rzeszowska;203;20.9;13.4;0
Kiełbasa szynkowa z indyka;88;17.2;2;0.2
Kiełbasa szynkowa z kurczaka;110;16.2;5;0
Kiełbasa śląska;210;18.4;15.3;0
Kiełbasa toruńska;263;20.9;20.1;0
Kiełbasa zwyczajna;209;17.6;15.6;0
Kiełbasa żywiecka;315;20.3;26.3;0
Kiełbaski bawarskie;308;15.5;27.7;0.1
Kiszka kaszana jęczmienna;195;7.3;12.6;13
Kiszka krwista;404;14.2;35;9.2
Kiszka pasztetowa;384;12.5;35.7;4.3
Kurczak faszerowany, pieczony;199;20.5;11.9;2.8
Mielonka (Luncheon meat);171;12.8;11.7;0.1
Ozory w galarecie;141;16.7;7.6;1.7
Parówki popularne;342;9.5;34.3;0
Parówki z kurczaka;259;10.8;22.4;4.2
Pasta kanapkowa z kurczaka;156;10.4;11.3;3.5
Pasztet pieczony – sklepowy;390;17;31.2;13.5
Pasztet podlaski z kurczaka;228;6.7;21.1;3.6
Pasztet z kurczaka pieczony;214;14.4;14.3;7.5
Pieczeń z kurczaka z pieczarkami;180;13.8;10.2;9.1
Polędwica luksusowa;177;19.5;10;2.4
Polędwica sopocka;165;19.9;9.1;0.9
Polędwica w galarecie;101;14.5;4.4;1.4
Polędwica z indyka;105;15.8;4.6;0.1
Polędwica z piersi kurczaka;93;20.4;1.2;0
Salami luksusowe;540;21.9;50.6;0.9
Salami popularne;568;21.6;53.7;1.4
Salceson czarny;336;12.6;32;0.5
Salceson włoski;318;14.6;29.3;0
Szynka delikatesowa z kurczaka;123;18.2;5.6;0
Szynka kanapkowa;102;14.2;4.4;0.9
Szynka wiejska;253;17.1;20.3;0.9
Szynka wieprzowa, gotowana;233;16.4;18.3;1
Szynka wołowa, gotowana;107;20.9;2;1.1
Szynka z piersi kurczaka;98;21.2;1.2;0.2
Szynka z udźca z kurczaka;117;17.2;5.3;0
Szynkówka wieprzowa;191;13.6;14.7;1.4
Szynkówka wołowa;85;16.2;1.5;1.4
Wątrobianka;231;10.7;20.9;0.7
Wędzonka wołowa, gotowana;102;17.8;3.1;0.5
